category_list,funding_total_usd,country_code,funding_rounds,status
Media,10000000,IND,1,1
Application Platforms,700000,USA,2,1
Curated Web,2000000,CHN,1,1
Software,16041326.81,USA,1,1
Games,41250,HKG,1,1
Biotechnology,762851,CAN,2,1
Analytics,33600000,USA,4,1
Mobile,1150050,USA,3,1
E-Commerce,40000,CHL,1,1
Entertainment,16041326.81,USA,1,1
Networking,16041326.81,USA,1,1
Health and Wellness,16041326.81,USA,1,1
Health and Wellness,1750000,USA,1,1
Internet Marketing,6000000,USA,1,1
Apps,5000000,USA,1,0
Entertainment,100000,USA,1,1
E-Commerce,2050000,USA,4,1
Education,4400000,GBR,2,1
Search,40000,USA,1,1
Art,500000,USA,1,0
Beauty,16041326.81,IND,1,1
Curated Web,2535000,USA,2,0
Curated Web,6795451,USA,9,1
Local Businesses,10661772.9,FRA,5,1
Cosmetics,8900000,FRA,1,1
Games,10000000,CHN,3,1
Hospitality,3000000,CHN,2,1
Education,4500000,CHN,2,1
Health Care,4000000,USA,2,1
Analytics,1250000,USA,2,0
Software,35000000,USA,1,0
Advertising,16041326.81,CAN,2,1
Curated Web,50000,USA,1,0
E-Commerce,1600000,USA,2,1
Enterprise Software,100000,AUS,1,1
Batteries,16041326.81,USA,1,1
Biotechnology,55000000,USA,1,1
Biotechnology,3550000,USA,2,1
Software,77500,USA,1,1
Fashion,16041326.81,CAN,1,1
Health and Wellness,1958909,GBR,1,1
Social Travel,20000000,CHN,1,1
Enterprise Software,1800000,USA,1,0
Health and Wellness,935000,USA,1,1
Sports,16041326.81,DNK,1,1
Sports,16041326.81,USA,1,1
Real Estate,16041326.81,USA,1,1
Audio,440000,AUS,3,1
Health Diagnostics,794000,USA,6,1
E-Commerce,1000000,ROM,2,1
Local Search,16041326.81,AUT,1,0
Software,378812,GBR,1,1
Service Providers,11999347,USA,1,1
Publishing,130636,FRA,1,1
Mobile,1809056,KOR,1,1
Consumer Goods,619494,NLD,1,1
E-Commerce,16041326.81,USA,1,0
Manufacturing,71450000,USA,9,1
E-Commerce,16041326.81,CHN,1,1
